RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
135,Katie FisoORE,G,23,31.3,15.3,6.1,12.5,48.6,0.3,1.3,24.1,2.8,3.5,80.0,3.0,6.9,1.3,0.3,3.7,3,ORE,Katie Fiso,50.0,54.487179487179496
136,Da'Brya ClarkNORF,G,20,31.8,15.3,4.9,14.5,33.6,2.5,7.7,32.0,3.1,4.1,75.6,5.2,2.4,2.6,1.1,2.7,3,NORF,Da'Brya Clark,42.41379310344828,46.921000981354275
137,Grace VanSlootenMSU,F,21,26.1,15.2,6.2,12.1,51.6,0.0,0.0,100.0,2.7,4.0,67.9,6.3,1.9,2.0,0.9,1.8,3,MSU,Grace VanSlooten,51.23966942148761,54.83405483405483
137,Sierra ChambersSUU,G,21,34.0,15.2,4.7,12.3,37.8,1.2,4.5,26.3,4.7,5.5,85.3,2.0,3.6,0.7,0.1,2.9,3,SUU,Sierra Chambers,43.08943089430894,51.63043478260869
139,Izabella ZingaroCLE,C,23,23.5,15.2,5.2,8.6,60.6,0.1,0.3,28.6,4.7,5.7,82.4,6.3,0.9,0.4,0.6,2.6,3,CLE,Izabella Zingaro,61.04651162790697,68.41915736406193
140,Ta'Niya LatsonSC,G,20,28.6,15.2,5.4,11.0,49.3,1.0,2.6,39.2,3.4,4.2,81.0,3.3,3.7,1.8,0.4,1.7,3,SC,Ta'Niya Latson,53.63636363636364,59.15317559153175
141,Meredith MayesACU,C,16,28.3,15.2,6.3,9.3,68.2,0.1,0.1,100.0,2.5,3.5,71.4,7.9,1.6,2.5,0.8,1.4,3,ACU,Meredith Mayes,68.27956989247312,70.11070110701107
142,Kate DikeMORE,G,22,26.8,15.2,5.5,11.0,49.8,1.0,2.6,37.9,3.2,4.5,70.7,7.2,1.2,1.1,0.6,3.0,3,MORE,Kate Dike,54.54545454545454,58.551617873651765
143,Aryss MacktoonLAS,G,21,32.3,15.1,6.1,15.2,40.1,0.4,1.7,22.2,2.6,3.6,72.0,7.0,1.8,3.7,0.6,2.8,3,LAS,Aryss Macktoon,41.44736842105263,44.9833174451859
143,Lulu TwidaleCAL,G,21,35.6,15.1,4.8,12.6,37.9,2.7,8.5,31.5,3.0,3.5,83.8,3.4,3.9,0.9,0.0,3.0,3,CAL,Lulu Twidale,48.80952380952381,53.39462517680339
143,Ryann BennettUCD,G,21,34.6,15.1,5.6,12.4,45.4,1.6,5.3,30.6,2.3,2.6,87.3,3.3,3.8,1.8,0.2,2.8,3,UCD,Ryann Bennett,51.61290322580645,55.744240992321316
146,Micah GrayOKST,G,22,28.8,15.1,5.0,12.0,41.9,2.9,8.0,36.0,2.2,2.7,81.4,1.7,2.0,0.9,0.2,1.5,3,OKST,Micah Gray,53.75,57.24901425538368
147,Addison HarrisMTST,F,20,25.3,15.1,6.2,12.9,48.2,1.3,4.0,31.3,1.5,2.8,51.8,4.2,1.0,1.0,0.9,2.2,3,MTST,Addison Harris,53.100775193798455,53.42485140107557
148,Ashleigh ConnorLAS,G,21,32.4,15.1,5.0,11.8,41.9,1.1,3.3,34.3,4.0,5.3,75.9,5.5,4.0,1.9,0.2,3.2,3,LAS,Ashleigh Connor,47.03389830508474,53.42485140107557
149,Gabrielle KennerlyMSM,G,16,27.9,15.1,5.1,13.6,37.8,2.4,6.9,34.5,2.4,2.7,90.7,2.9,1.7,2.3,0.1,1.8,3,MSM,Gabrielle Kennerly,46.32352941176471,51.05490938598864
150,Kaylee BordenUTU,G,19,33.2,15.1,5.6,13.4,41.7,1.4,4.4,32.1,2.5,3.3,74.6,4.8,2.6,0.9,0.1,2.5,3,UTU,Kaylee Borden,47.014925373134325,50.83490438998115
150,Tasia JordanIDST,G,19,26.3,15.1,6.2,13.8,44.7,0.2,0.8,26.7,2.5,3.3,76.2,6.0,1.3,1.5,0.9,1.7,4,IDST,Tasia Jordan,45.65217391304348,49.5017046944663
152,Nayo LearDAY,G,20,28.3,15.1,5.4,11.4,46.9,0.5,1.7,30.3,3.9,6.2,62.1,3.5,2.4,1.5,0.2,3.2,4,DAY,Nayo Lear,49.56140350877193,53.43997734994337
152,Erin CondronUCSD,F,20,33.0,15.1,6.4,11.6,55.2,0.2,0.7,23.1,2.1,3.8,55.3,8.2,2.0,1.1,1.5,2.4,4,UCSD,Erin Condron,56.0344827586207,56.88667872212175
154,Ella BrubakerSEA,G,21,28.6,15.0,5.2,11.7,44.3,1.3,4.0,32.1,3.4,4.0,83.5,4.5,1.0,1.5,0.4,2.3,4,SEA,Ella Brubaker,50.000000000000014,55.72065378900446
155,Snudda CollinsTTU,G,23,23.3,15.0,5.2,11.6,44.6,1.6,3.7,42.4,3.1,3.9,78.9,2.9,1.0,0.7,0.8,1.8,4,TTU,Snudda Collins,51.724137931034484,56.32322018624212
155,Sole WilliamsFSU,G,20,29.4,15.0,5.3,13.2,39.8,2.0,5.7,34.5,2.6,3.0,85.0,3.8,3.0,1.1,0.1,3.4,4,FSU,Sole Williams,47.72727272727273,51.65289256198348
155,Jade TillmanUMBC,F,20,27.2,15.0,4.8,13.2,36.4,1.2,3.6,33.3,4.2,4.9,85.7,6.7,1.4,2.0,0.7,3.3,4,UMBC,Jade Tillman,40.90909090909091,48.8408439697838
155,Skylar ForbesMARQ,F,19,30.7,15.0,5.4,12.1,45.0,2.0,5.2,38.4,2.2,2.8,77.4,5.0,2.6,1.0,1.9,3.4,4,MARQ,Skylar Forbes,52.892561983471076,56.255625562556254
155,Fortuna NgnawoTROY,F,21,26.4,15.0,5.8,12.4,46.4,0.2,0.9,27.8,3.2,4.5,71.6,10.0,1.7,1.3,1.1,1.8,4,TROY,Fortuna Ngnawo,47.58064516129032,52.155771905424196
160,Charlise DunnDAV,G,23,34.0,15.0,5.4,13.3,40.4,1.9,6.4,29.9,2.3,2.7,82.5,7.9,2.0,1.9,0.8,2.3,4,DAV,Charlise Dunn,47.744360902255636,51.76697956929872
161,Kiki RiceUCLA,G,21,30.3,15.0,5.1,10.5,49.1,0.9,2.3,38.8,3.8,4.2,89.8,6.6,4.7,1.7,0.6,1.6,4,UCLA,Kiki Rice,52.85714285714286,60.73858114674441
161,Cassie GallagherUPST,G,21,31.9,15.0,5.5,13.6,40.2,2.1,5.2,41.3,1.9,2.5,73.6,3.2,1.6,0.6,0.4,2.8,4,UPST,Cassie Gallagher,48.161764705882355,51.02040816326531
161,Jess LawsonLMU,G,21,27.3,15.0,5.0,11.6,42.6,0.3,1.1,29.2,4.7,6.4,73.9,8.0,2.0,1.9,0.0,1.4,4,LMU,Jess Lawson,44.396551724137936,52.02552719200888
161,Delanie HillUALB,G,21,33.0,15.0,5.0,10.8,46.7,2.1,5.4,39.8,2.7,3.0,91.9,3.0,2.7,1.4,0.0,2.2,4,UALB,Delanie Hill,56.01851851851851,61.88118811881188
165,Bree SalenbienBALL,G,20,26.4,15.0,5.2,11.0,47.0,1.3,4.0,31.6,3.4,4.1,82.9,8.2,3.2,1.5,0.8,3.5,4,BALL,Bree Salenbien,53.18181818181819,58.575445173383315
